job_title,company_name,location,job_description,job_link,skills
system analyst,tog indonesia,yogyakarta,"responsibilities deploy, maintain, and troubleshoot core business applications, including application servers, associated hardware, endpoints, and databases meet and coordinate with internal and external stakeholders to establish project scope, system goals, and requirements develop, analyze, prioritize, and organize requirement specifications, data mapping, diagrams, and flowcharts for developers and testers to follow translate highly technical specifications into clear non-technical requirements manage the set-up and configuration of systems define and coordinate the execution of testing procedures, and develop test cases to serve the overall quality assurance process provide documentation of all processes and training as needed develop and implement maintenance procedures, monitor systems health, gather system statistics, and troubleshoot reported errors and alarms perform design, implementation, and upgrades of information systems to meet the business and user needs qualifications: minimum 4 year experience as system analyst and has a background as developer banking knowledge technical writing skill api design using postman or swagger experience and understand agile methodology experience develop banking/fintech product communication skill",https://www.linkedin.com/jobs/view/4076765593/?ebp=cweaaagtxcqp1mmjeg7yicoelb1cxszgf8_uw1ilcc0gb45y1unvu-_c_pifgio6pco_neiws3oiltjqewuppkmn5usv4wn1qzsbzxu8fraseqqzk5jcif3y5h4ye1zl32dogdq2csfz4ykmdxzhk4rflzcxu7pi2vu982fghjfib69kgaftcqem-iclojmloyccrgychcdm90yir4-k3tktdjm3sua1s_g14znfvvnc2rj_cgdosvq1odrab7ozd289agb6yjvkma5oijqwon0ngnq8di7m6w9dwsiypudq0bn3pts7p7ohy07kmn3dfvwu1dhfunngu3mqpdfhysk5-gs1ugioto_qudvylwxr7uoqsxxpsl56bc7-4gd1slwqp_a6qr9g82e2sv-demt9jhqvi-zh9mxgrbvpkuq_o-2s0mcov74d8oj8xcrgdb6dq_ccafmtu1r-ggqmhddjswjeoid613eq0kcz4ipbtrgc_pkwc1djbmbrcfa1lkq9bq&refid=sibtgqccwprz1gyy2s%2bfeg%3d%3d&trackingid=n5jaha3r3fcpw5aukusw%2fa%3d%3d&trk=flagship3_search_srp_jobs,"['statistics', 'communication']"
data analyst,tukr,jakarta,"tukr is a rapidly expanding renewable commodities trader with a hyper-focus on direct origination of bio-feedstock material, primarily used cooking oil (uco) for biofuel production. we develop complex supply chains within challenging locations to source sustainable and renewable materials for refinement into biofuel. we bulk, store, blend, and deliver these volumes to our end clients with attentive care to quality and sustainability compliance. job description design, develop, and implement streamlined data collection and processing systems across multiple platforms (netsuite, google sheets, google forms, etc.) ensure accuracy, consistency, and automation where feasible maintain and update tukr's warehouses scorecard, tracking performance based on kpi achievements monitor and report key metrics (e.g., supplier volume, iscc ratio, operational cost efficiencies) daily, weekly, and monthly analyze data trends to provide actionable insights for improving commercial and operational performance at tukr's warehouses support decision-making with data-driven recommendations. coordinate and standardize data collection processes for key activities, including sales calls, daily audits, and safety audits. work closely with supply managers, warehouse managers, and the project manager to ensure data relevance and quality. train stakeholders in understanding reports and insights generated. requirements experience in handling erp software (netsuite preferred) minimum 2–3 years of relevant work experience candidates with backgrounds in data engineering or data support are welcome to apply prior experience in the commodities, fmcg, or e-commerce industries is a plus willingness to work full time at the office.",https://www.linkedin.com/jobs/view/4080741810/?ebp=cweaaagtxcqp1jhqvcivwxckz90jujgijmzqqo1khplkfufdnckdzm2ducoidfziik2dkiviwnaekltsv4ecicvvsayuvw2e9fg6hqbxmzxkeair-pegh-0l-d0znqdludwsiwuivi7ewv6gmtcxp5vhze4bjjeb5jomrgczcvk3087fonn4ii-qmqsbrt1cfs9dmhxrun-clxuxlz4hblb6splbk6cyaqozoi8lai3cyskbjuza41sw1-pofeym5hu77kth-vfsp70fjyjwd8ti8fzskapmswn7fdcsflz5ha7cy24-ny449n_3bx16zb-fapddqjft5wrytss4kel8q2cg12vhvb-6qrptov5sazlq9_zwooisz2aw5x3uypkr-bu4hnkxfwmehyp_6ktfnb1yboa_fndunjorim3ofadmh9ispek9uxakmjftwlgxoattv9xmwx5ibyil0ysw_dca6mvcgoa8gfw5vvmqcegbwbxbig2cilyeezwpuutucs_8&refid=sibtgqccwprz1gyy2s%2bfeg%3d%3d&trackingid=wbs0a1%2fjst5f08llcs%2b18w%3d%3d&trk=flagship3_search_srp_jobs,['erp']
supply chain supervisor,seven retail group,jakarta,job responsibility: create the company's supply chain strategy analyze data from shipping and delivering processes to find bottlenecks & other issues monitor logistics to make sure they run smoothly maintain supply chain inventory and records communicate and negotiate with suppliers and vendors find cost-effective solutions for supply requirements: minimum 4 years of experience in supply chain management or similar role excellent knowledge of supply chain processes excellent organizational and project management skills attention to detail creative problem solving,https://www.linkedin.com/jobs/view/4089476927/?ebp=cweaaagtxcqp1ccflhxegxd0bjxu6tqqpxd1v1ybl5u9edmd66lm5lhdwvqlc5fufvgy8wny8cp5riovntw9o8hngngnuaxmud1ohdiuij9qxhj6gd_dcojteeqh_0jzvgvjnglvkaswicjmve2w4u570v36vveo0gnvs_srcofngpdl84gr9chfzj8huuvsmvwn4wgimytxvrwnymx75araaykj6bd0znpbabi-7co4k_qpo9vji_pcb__2hcsnt-2fycqodsekc3jaanmvy7rc39lovk8uvv5zguicod3dayrxeyg1tnzjooa_esqaiklgxrmqh-gjueo46nlsaehdlo_3gdv54y_frngck-gc1ifbrvbpls04y5ca-p2l5gffd35aqmat0p-aflb62jx_do-i1vfxwk2bb2qdfvp6aqvw6lxmjzhg-wel1gwmqmm2oqcqvbb5hbapgwzhpkeag5lmjksfg39vw4bcbidr6mhu7bythpd5gmjxnjkkd64ora5ppxs2vw&refid=sibtgqccwprz1gyy2s%2bfeg%3d%3d&trackingid=9xsrujgttbzhvaaqyxz1dg%3d%3d&trk=flagship3_search_srp_jobs,"['project management', 'problem solving']"
data scientist,provenir,jakarta,"who we are  provenir is a global fintech company with offices across north america, the uk, and singapore. provenir helps fintechs, financial institutions, and payment providers make smarter decisions, faster. we are passionate about technology and empowering businesses to become industry leaders. as a leading provider of decisioning and analytics products for financial services and other industries, we empower businesses to create digital-first decisioning solutions that drive business growth. if you’d like to work at an innovative fintech with a global footprint that is redefining the industry, then we want you! ai innovation & research role we are looking for a commercially minded expert in data science and machine learning to work closely with our product and technology teams to allow us to develop, improve and innovate on our use of advanced analytical approaches within our software products. provenir is a market leading solution for credit risk, id and fraud use cases across financial services - industry knowledge is useful but not required - the ability to pick up new topics quickly and apply technical concepts to business problems is the heart of this role. day-to-day interface with stakeholders within the business to understand analytical requirements and opportunities research new machine learning algorithms and statistical techniques to solve problems in the detection and prevention of financial risk contribute to the productionisation of new analytical features through prototyping, requirements setting and implementation provide expert input into future analytical strategies and product development share knowledge of analytical techniques and tooling across engineering and wider business teams developing statistical models and algorithms for integration with provenir products working with development teams to support and enhance the analytical infrastructure working with qa teams to advise on effective analytical testing technical experience experience - 5-7 years knowledge of algorithms such as lgbm, decision trees, xgboost, k means anomaly detection, bayesian theory, etc. understanding of evaluation and explanation techniques in machine learning, e.g., overfitting, bias, cross-validation, lime, shap, etc. experience and proficiency with python and machine learning tools libraries like scikit-learn, pandas, numpy, etc, and statistical packages, e.g., scipy our employees are our top priority, we offer comprehensive health and wellness plans. you will enjoy paid time off and company holidays, flexible and remote-friendly opportunities, and maternity/paternity leave. at provenir, we recognize that diversity and inclusion make our teams stronger. we are committed to equal employment opportunity and welcome everyone regardless of race, color, ancestry, religion, national origin, age, sex, gender identity, sexual orientation, disability, marital status, domestic partner status, citizenship, or veteran status or medical condition. we encourage people from all backgrounds to apply.",https://www.linkedin.com/jobs/view/4076157340/?ebp=cweaaagtxcqp1dw1dvixwtjyfqt_r4epuuhgvxvul8l6wxrocrnak-kcj4t-ipimeqp-brj9xhwfjpsjmj5lmxa8gaua8gvtzqq_irjwjpa7umjb9rf90b8tvwcy_cg7ddjgw-3i8rpye6lstss_giuuk_n-3_uq3dyjodvk9hvje-wughujsqlo-ajgfjvvq5ccpu9fryey_t-8-omjzkeohmo_utu27g3onml0mdjxchrqka542klqix6o4zrg0l7jeary369ywvettxgfnacgdjonofgsewrngfzbptqxgbpa4sttk-d70grv___zrpetbbvzwji3thvty7q9oo-khi1z4jcovfrogwboxlst_oa89wruquz987c__pdlskropscdxwxvvqfexa13obke7nodfzafxhxz-mbb1tehdwytc2i0tq2l4atd7qxk7lhuvjuod0ni-e6n9xh0dukez4wocfawoquljjtjyrueoqxozamzr7gsexnhbfumslkjljtm&refid=sibtgqccwprz1gyy2s%2bfeg%3d%3d&trackingid=yq6mvityqhz1xitibeyoyg%3d%3d&trk=flagship3_search_srp_jobs,"['python', 'machine learning', 'scikit-learn', 'xgboost', 'decision trees', 'pandas', 'numpy']"
head of product (data),htc global services,jakarta,"formal education and work experience : bachelor’s degree in computer science, technology, engineering, mathematics, or any related fields. minimum 10 years of experience in digital industries (fintech, e-commerce, webapps, and mobile apps), with 5-7 years in a senior product management role. technical skills : demonstrated capability in creating, maintaining, and driving product vision and roadmaps aligned with company objectives. proven experience in managing and overseeing the entire product lifecycle from ideation to sunset. extensive experience in building and leading highly scalable distributed systems, on-premise or on cloud platforms, especially google. deep understanding of agile methodologies and frameworks like scrum, kanban, and lean. proven track record of embedding agility in organizational processes and mindset. deep understanding of and ability to coach teams on devsecops practices. experience implementing or coaching secure coding, sast, dast, owasp, sans. proven experience in managing, mentoring, and developing multiple product teams spanning across product ownership, design, planning, engineering, and operations. behavioral competency : strong leadership skills with the ability to drive agility in thought and action, ensuring that agile principles are embodied and lived across teams. proficient in english, both written and verbal, with the ability to effectively communicate complex technical concepts and strategies. demonstrated ability to coach teams on a broad range of skills from soft skills like communication and collaboration to hard skills like business, product, finance, and software engineering. exhibits strong business acumen, with an ability to make calculated decisions based on data and analytics. possesses excellent interpersonal skills with an ability to communicate effectively and establish strong relationships with non-product and non-technology stakeholders.",https://www.linkedin.com/jobs/view/4099353940/?ebp=cweaaagtxcqp1n1w4cxn-e5xtzdcaisyjt0us80vn1yvbnwf0ypipl5mttzhbp5toy8zvgv2qhzy-0vto8cyefafqwps23xwiwn8sovyspaocpkwef4ha4bhg2ifof5revi-lioj1eukaxgy6ylpqf8kpvrkq1femhzqbhfvnteoowrollvoe8def61ks0vk9dnfmpebs5rt6feelsh1uoaqkvjr6d8s89ptkwj0fnv2iawcop_tl4wintgvmyynlxxjxbc01cp2rm2mrhjafhbzluel4ond59hjkq-pwjtsirjefy36aqzufvs4ein49eegecn0xkzbcwgmlzr8wtvnjhk0fs6lswpqgvsrlihfyubp9bogqhqt01gyq4svwzscnwex5ehmpk6fd_ixo9-5wbz5cbwsovotj9l5mtbpkf5hvjw2be7ohk8lx8aegv1iyi88tggrgjvabn06sw0zp5-jj2yazqfl923up2d_ccwvqicd6lzixzchcx6svfwkvscf-de&refid=sibtgqccwprz1gyy2s%2bfeg%3d%3d&trackingid=qwu2uvf%2fkth9lr29hmozuq%3d%3d&trk=flagship3_search_srp_jobs,"['kanban', 'communication', 'collaboration']"
data scientist,seamoney,jakarta,"job description work on risk model development for retail and sme finance products such as consumer lending, personal finance, small and medium-sized enterprises loan and so on build models and tools for credit and fraud risk identification in various aspects. for example, credit risk modelling, income estimation, customer information verification, anti cash-out, non-starter detection, account take over and so on maintain business operations for credit and fraud risk products in various aspects. for example, conduct product backtesting, pipeline stability check, and build relevant monitor dashboards and so on collaborate closely with the risk policy and business team. translate business need and insight into machine learning models and product solutions. research model methodology and data mining techniques to improve model performance requirements bachelor's degree in machine learning, business analytics, information technology, finance, economics, statistics, mathematics, or a related field. master's and phd degree are preferred. 1-5 years relevant credit or anti-fraud model development experience experienced with data mining and feature engineering from massive raw data especially the alternative credit data solid understanding and hands on experience of machine learning models such as boosting trees, regression models and good sense in feature engineering good coding skill using sql, spark and python eager to learn new things and has passion in work take responsibility, team oriented, result oriented, customer oriented and self driven experience in network analysis, search and recommendation system and other machine learning field is a plus",https://www.linkedin.com/jobs/view/4043580553/?ebp=cweaaagtxcqp1ixbctmnkjinyyidmdzexl_txblhflo1hwtzw_nekyiy3cpegechdvbkewjejsbf388h4zc5dlxuvm5ordqzocmgxeca-auv2kdq6odergcbnsloqthryst2fssqqnuu-54ugbt3pgsfiyab94ufdzai37bxzjnublnazb_tidu9t1up4tlhx5rlwi19rm1vtb9arzf4gcxgyqyiosk0v8schtv1yfxz-0zkhii0xx97cn50lpqdb23_cxx0iyw6vughszdpekd1j1ixjpdpoowxwafxhucykiqp5ag1iqxcruraup_ftcdtpnfk-5r5vohfxnrvfqgwrkbe6s3tmvagiijhatareadccopwuofn-dpyjvyk98rguxokrb_uvjhn-uasg1esv9b7rkars2bylmxsigapcyit5qdo4kpvz_god5nq8y-zvvklf5jf5eq8tbp5pvy1qz7gbt9mdst01vgd3yncv_vb9fln6lpk6vce_ldensehboyv0no&refid=sibtgqccwprz1gyy2s%2bfeg%3d%3d&trackingid=pwafewrk8qbnzptj5hkwsg%3d%3d&trk=flagship3_search_srp_jobs,"['sql', 'python', 'spark', 'machine learning', 'spark', 'statistics', 'feature engineering']"
data processing specialist,nielseniq,jakarta,"job description the reference data specialist is responsible for instructions of client deliverables, coding and data input validation focusing on specific industry/category or set of categories (e.g. beverages, food, health and beauty products). as a reference data specialist at nielseniq, you create and deliver client outputs in a correct and timely manner. responsible for instructions of client deliverables, coding and data input validation focusing on specific industry/category or set of categories does cross coding and item-related quality checks on a daily basis may act as a back-up to other coders when needed; conduct physical store check to validate item-related information keep track/document special instructions related to category assignment plan and execute a complex daily personal workload and support to meet departmental and company schedules ensure accuracy throughout the process, from validation before database setup to managing samples, and identify areas for improvement answer external questions and act as a liaison with everyone from clients to stakeholders; to be able to identify, investigate and coordinate the resolution of data, process, or product related queries willing to be trained to be a category expert qualifications bachelor’s degree in business admin / statistics or any relevant subjects fresh graduate or with 1 year – 2 years’ experience in data and operational areas are welcome fmcg background or experience as an encoder is a plus able to work as part of a team in a multicultural environment passionate in data. a high degree of accuracy, good analytical skill and logical thinking high level of accountability and willingness to take ownership eager to learn and willingness to grow excel is mandatory; one or more of the following would be added advantage : (sql, r or python) proactively, willing to voice out and share opinion excellent written and verbal communication skills in english  additional information our benefits flexible working environment volunteer time off linkedin learning employee-assistance-program (eap) about niq niq is the world’s leading consumer intelligence company, delivering the most complete understanding of consumer buying behavior and revealing new pathways to growth. in 2023, niq combined with gfk, bringing together the two industry leaders with unparalleled global reach. with a holistic retail read and the most comprehensive consumer insights—delivered with advanced analytics through state-of-the-art platforms—niq delivers the full view™. niq is an advent international portfolio company with operations in 100+ markets, covering more than 90% of the world’s population. for more information, visit niq.com want to keep up with our latest updates? follow us on: linkedin | instagram | twitter | facebook our commitment to diversity, equity, and inclusion niq is committed to reflecting the diversity of the clients, communities, and markets we measure within our own workforce. we exist to count everyone and are on a mission to systematically embed inclusion and diversity into all aspects of our workforce, measurement, and products. we enthusiastically invite candidates who share that mission to join us. we are proud to be an equal opportunity/affirmative action-employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. our global non-discrimination policy covers these protected classes in every market in which we do business worldwide. learn more about how we are driving diversity and inclusion in everything we do by visiting the niq news center: https://nielseniq.com/global/en/news-center/diversity-inclusion",https://www.linkedin.com/jobs/view/3988598145/?ebp=cweaaagtxcqp1gonhn7bhiwo3wt4yqhbzvobapysdkoyhg0lttzqhblkjktgrhnw1-qde2shmewcku4pmkmqemvwk6cxnnxvfx2ovfgqlwqek9vgges9jmyk6jzwd68u6dk7msr9vlcrfwviynawy-mq0eo3c9ku9q8fxvuoul5eqjqxtjrr7qxnm9mdtdvrftorxwmpucaoygykpa00lwyw3whs4_wt6mljcnbnbz31ly_wo54a6qtd7qwkyoajrmfx1lq7_z7o_h-hu-lozsufmsxl7tjl23uvbxo_4juolr_hcq_0dw7iq5ikpjcsvbkpo5k1nnzs7gkpfvr8flflqb9_zdzqvbrn4nwvkh4ip506gguzfq3dvwvp6i87lljajnru8pof2r7_xqrgg4xl2c2ywsv1lhgcbagcjym2tp7h_fhfugf8vbajffmqajukmkoayzmrazsxgbmvj-bzzzhpv51iikzqvtme1ogru3dglwaaytuf6emzpxdnds121pia&refid=sibtgqccwprz1gyy2s%2bfeg%3d%3d&trackingid=6xtici5a84by4djbucmysq%3d%3d&trk=flagship3_search_srp_jobs,"['sql', 'python', 'r', 'excel', 'statistics', 'communication']"
python developer,bitwyre,bali,"responsibilities: design, develop, and maintain python-based applications for cryptocurrency trading systems work closely with traders and quantitative analysts to implement and optimize trading algorithms and strategies build and maintain data pipelines for real-time and historical market data processing create high-performance and low-latency trading platforms and apis optimize trading algorithms for speed, reliability, and scalability troubleshoot, debug, and improve existing trading systems to minimize downtime and increase profitability develop automated trading bots and implement market-making strategies integrate with cryptocurrency exchanges (e.g., binance, coinbase pro, kraken) and liquidity providers implement risk management tools and monitoring systems to track performance and mitigate risks requirements: proven experience (3+ years) in python development, ideally in the finance or cryptocurrency space strong experience with python libraries and frameworks solid understanding of api integration (rest, websocket) with exchanges like binance, kraken, or other crypto platforms experience with real-time data processing, event-driven programming, and high-frequency trading systems familiarity with blockchain technology-cryptocurrency strong knowledge of algorithm design, data structures, and optimization techniques experience with database systems (sql, nosql, redis) for managing large-scale trading data proficiency with version control systems (e.g., git) and ci/cd pipelines familiarity with cloud infrastructure (aws, gcp, azure) and containerization (docker, kubernetes) is a plus strong debugging skills and ability to work under pressure in a fast-paced, high-stakes environment",https://www.linkedin.com/jobs/view/4086231718/?ebp=cweaaagtxcqxkfuxv87ybjxir0sgjsmxvaqlgupepna2mxnultrgagjfrky0z219yypoi2okfuqgqggmn6dmjb6wezb5smiywheicqwqwlnpwyzwnzuo39cxh-xhmr0mbgbsgcf17mj53u75e3e2tg3sww6a-m7xg7q8df5fqqzuzzggr_ppmgzxpuzo-xnm1rg5ouzgspnjinwy5cdqkk0vokojo_ftjoumyzmze483ahf4qshadknczn45l8seb72fhh-ui0qegm0yoxkxzhxwwjdiejtmfvbggx25ka502herhnq-eihcvxuurncdgwxigdbzx6h7zq3mla1yjqjvfyne1nusjbq1ntpg6vnjgjs5dcrem_oghtj8-_wwpbgi87yj2zgnuhlyawf9kepaljfvuuxguydo2bidlt4jy_dwslua2qfwskgrzbr78aarh7_6k1ektvp-qgok_jn1_mxxytle7gomq-eqf56prudkryawoh95is4msqhbeulzsayp9rg&refid=cia%2fgqzisnvlp7gosplqlq%3d%3d&trackingid=to9%2bjmrcvfimubb78kb5qq%3d%3d&trk=flagship3_search_srp_jobs,"['sql', 'python', 'nosql', 'azure', 'aws', 'gcp', 'ci/cd', 'docker', 'kubernetes', 'version control', 'git', 'version control']"
product specialist,dksh,bali,"job summary sell medical products, systems or services to achieve sales targets for assigned businesses/territories and overall business objectives general responsibilities support superior in managing day-to-day operating expenditures against operating budgets to ensure efficient usage of resources provide input to medical sales plans based on experience. implement action plans to achieve sales targets for assigned businesses/territories track self/team progress against key performance indicators and sales plans. prioritize and review daily sales activities performed call/visit existing and prospective customers to solicit orders, and gain demonstrations and quotation opportunities. conduct product demonstrations and emphasize saleable features/customer benefits prepare quotation/tender prices, delivery and commercial terms in accordance with company policies report on the activities and products of the competitors record sales data for reporting and tracking purposes. maintain relevant customer data in appropriate customer relationship management databases execute continuous improvement activities to enhance sales processes, sales plans, customer satisfaction, etc., to improve sales targets maintain a customer complaints/issues log and follow up on customer issues respond to customer orders and queries. inform current and prospective customers of promotions and new/upgraded products work with internal stakeholders to ensure timely delivery or installation of products/systems. support internal stakeholders in relationship development with key customers  functional skills and knowledge demonstrate basic knowledge and understanding of the industry/market/competitors/customers demonstrate basic knowledge of assigned products/services/systems and strong selling skills demonstrate basic knowledge of regulatory requirements of products within assigned territories, including handling procedures, shelf life, warranties, etc. demonstrate strong communication and negotiation skills demonstrate basic research and analytical skills demonstrate proficiencies in office productivity tools (e.g. excel, word and powerpoint) demonstrate fluency in local language and ideally in english, both written and spoken  education degree or professional qualification in a science or medical-related discipline up to two years' experience in a similar role  why it’s great to work at dksh",https://www.linkedin.com/jobs/view/4101008507/?ebp=cweaaagtxcqxkofxdeu21iemjwmsm-yi65ev_mijdpfjenysw58wsmelyrgakpvftn_di7-hwf4na1qjxyjfnlbcny6n5xu5siibhbzdgcunfihib0lwnk3su3t4vunrwzjewdradsxcweykadxjiosskncyvcuttypexvxo5nny2jcgyx5evvukn2rxaumzp0gdryq5h-9ez48ffn6y8uhxptcucumqbirtmplntxc8mhlymdel5ozebmwxwy76shgefhfr8j7uqmuiquohah8chpj9vxvchpcggcy_x77bemcivb5mkpxviq1nebxdqvral9lia4tfmstewgq7v_fyhtjm6u7-2gecgdfargqaah3iayu7tod589vosxiif7ixzyvdinog-nre8bm1msxonypleege4gqtmp3mvuvgsodrmkfvwaqwvpwt9s7ujqav7wtticzn4vih-r84eezeai8rpfdkybwxqkk2nuhzjoeht9l-e7twvrqrnl2s52be2sj09wu&refid=cia%2fgqzisnvlp7gosplqlq%3d%3d&trackingid=0emwwl5h4cireomqjqbo9w%3d%3d&trk=flagship3_search_srp_jobs,"['excel', 'communication']"
data engineer,vlink inc,jakarta,"job description liaising with coworkers and clients to elucidate the requirements for each task. conceptualizing and generating infrastructure that allows big data to be accessed and analyzed. reformulating existing frameworks to optimize their functioning. testing such structures to ensure that they are fit for use. preparing raw data for manipulation by data scientists. detecting and correcting errors in your work. ensuring that your work remains backed up and readily accessible to relevant coworkers. remaining up-to-date with industry standards and technological advancements that will improve the quality of your outputs. minimum qualifications bachelor's degree in data engineering, big data analytics, computer engineering, or related field. master's degree in a relevant field is advantageous. proven experience as a data engineer, software developer, or similar. expert proficiency in python, c++, java, r, and sql. familiarity with hadoop or suitable equivalent. excellent analytical and problem-solving skills. a knack for independence and group work. scrupulous approach to duties. capacity to successfully manage a pipeline of duties with minimal supervision.",https://www.linkedin.com/jobs/view/4094706206/?ebp=cweaaagtxcqxkm_sna8u6flhlpivytopu1t0bsrrzita5vbwjwdsxjrks530-fo0kuwn4xoz48-p4kvcr4senxuc7vifiyqnah5f5vycgxriey0gbl0_7pbcq5v1-xmbk3uc7rdwkvooc5hkymbvt7e63mflddh5rzprznj1fcb0w-7hkuw25ekry6noee_kgq1bhwgkkntfbibvxydeau56zdztfvigdljtnyv9jpz2x92phx3c-fxx1lqrvf-8y_movketahy5crqz8iwwd4v77_hxpfdte3svpj9wc-byqkp98nelwkk-y42xkbrhwhuhm-oolb0w963jbbhqggvzx2z0lrmvhbhf2kvxjxuujl1roxkkq5hdhl_zzmkajmyqqfzyykwbsmhv1hgdvucdy0ajyscxehbxmtqd8v5z3dzysoszn0e4b5ptevr1xkceummmscem7bhercytmxyu-6-oap4djkwfgvpb7r3xdjiqzefnfi59qtuvfupdeyovt5d6_z0xjw&refid=cia%2fgqzisnvlp7gosplqlq%3d%3d&trackingid=bvfho8m3%2fsv8vuzz8om5ja%3d%3d&trk=flagship3_search_srp_jobs,"['sql', 'python', 'r', 'hadoop', 'big data', 'hadoop']"
