Job Title,Company,Job Description,Location,Link
Data Analyst,PT Indocater,RequirementBachelor degree of any majorExperienced for at least 2 years in similar roleGood knowledge of TKDN reporting process and PTK 007 Rev. 005Excellent in Microsoft Office (Excel Macro)Experienced in FMCG field is a plus pointStrong analytical thinking and good interpersonal skill,"Jakarta Barat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80800585?type=promoted&ref=search-standalone
Industrial Data Scientist,"PT. Citradimensi Arthali (""CEDEA"")","We are seeking a highly skilled Industrial Data Scientist to join our team and help drive process optimization and data-driven decision-making within our industrial operations. As an Industrial Data Scientist, you will work at the intersection of data analysis, machine learning, and industrial processes to improve efficiency, quality, and cost-effectiveness. Your responsibilities will include:Collecting and preprocessing data from various industrial sources, including sensors and IoT devices.Developing predictive and prescriptive models to optimize industrial processes in real-time or near real-time.Implementing and maintaining data analytics tools and machine learning algorithms.Collaborating with cross-functional teams to identify opportunities for process improvement and efficiency gains.Creating visualizations and dashboards to communicate data insights to non-technical stakeholders.Ensuring data security and privacy in compliance with industry standards.Qualifications:Bachelor's or Master's degree in Data Science, Industrial Engineering, or a related field.Strong proficiency in programming languages like Python or R.Experience with machine learning, statistical modelling, and data engineering.Knowledge of data storage, databases, and big data technologies.Familiarity with industrial processes and manufacturing environments is a plus.Excellent problem-solving and communication skills.","Jakarta Pusat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80795243?type=promoted&ref=search-standalone
Data Scientist,Geniebook Pte. Ltd.,"Role:We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to help students improve fastestYour primary focus will be in applying machine learning method to find out what will be the next best question to recommend studentsMust fully embrace the team spirit of a young and innovative Start-up, and able to adapt to a multi-cultural environmentTravel and remote location might be requiredResponsibilities:Selecting features, building and optimising regression modelsData mining using state of the art methodsEnhancing data collection and procedures to include information that is relevant for building analytic systemsProcessing, cleansing, and verifying the integrity of data used for analysisDoing ad-hoc analysis and presenting results in a clear mannerRequirements:Able to speak in English actively (both writing and speaking)Strong Programming skills in PythonExperience with at least one highly available data store (SQL,Hadoop, MySQL, etc)Knowledge in Machine Learning, Statistics, Natural Language ProcessingKnowledge in Deep Learning is preferredData-oriented personalityTime managementCritical ThinkingWilling to work in Surabaya Office (onsite)","Surabaya, Jawa Timur",https://www.jobstreet.co.id/id/job/80628139?type=standout&ref=search-standalone
Data Scientist,"PT SMART,Tbk","Job Description:Design, gather, research, analyse, develop and tune analytics solution and its pipeline, from data discovery to presenting it in the form that support key business decisions.Apply emerging technologies to help our business maximize the value of their data by generating actionable insights that provide real business outcomes.Be part of a lean team that provides our business users with solutions that are practical as well as visionary and have an impact from the back office to the boardroom.Project experience through all phases of the project lifecycle from strategy and advisory, scoping and planning, requirements gathering, design, development, testing, training, deployment, and monitoring the outcome.Work with various stakeholders within the IT department and business functions to align solution delivery with existing requirementsJob Requirement:Have a bachelor degree or higher in Business Analytics, Statistics, Mathematics, Operation Research, Computer Science, Software Engineering, or related quantitative disciplines.Having 2 – 4 years experience in consulting or delivering digital and/or analytics projects, junior role is also available if your experience does not meet the conditionMust have fluency in Python and/or RStrong analytical skills with the ability to collect, organize, analyse, and disseminate significant amounts of information and business insights across project teams and stakeholders with attention to detail and accuracyStrong experience with SQL, HiveQL, data wrangling, data transformation and/or ETL concept in generalStrong experience and knowledge in building traditional forecasting model, machine learning predictive model, optimization model, anomaly detection model, or similar statistical / machine learning modelsSome experience with visualization tool like Tableau, PowerBI, or visualization libraryUnderstand and/or experience in working within big data platform such as Hortonworks, MapR, Cloudera, Hive, Hbase, and relational database such as Mariadb, SQL Server, MySQL, or similarExperience directly interfacing with business and IT stakeholdersExcellent communication, writing and presentation skills in EnglishHaving knowledge of supply chain, manufacturing, IoT, or agribusiness might benefit youHaving knowledge of database management and/or data warehouse might benefit youHaving knowledge of deep learning or SOTA model might benefit youFluency in deep learning frameworks such as tensorflow, pytorch, paddlepaddle, or similar might benefit youHaving knowledge of Linux/Unix based operating systems and Shell scripting might benefit youHaving experience working with Source Control Management tools such as Git might benefit you""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""",Jakarta Raya,https://www.jobstreet.co.id/id/job/80795482?type=standard&ref=search-standalone
Data Scientist,PT Reycom Document Solusi,"Job description :Collecting, cleaning, and organizing raw dataCreating visualization and dashboards to present insightsDevelop and maintain dataRequirement :Banchelor's Degree any majorMin. experience 1 year in this roleExperience working with structured and unstructured dataKnowledge of relational databases and ability write efficient SQL queriesExperience with NoSQL databases","Jakarta Pusat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80697260?type=standard&ref=search-standalone
Data Analyst,PT Mata Pelangi Chemindo,"We are looking to hire a Data Analyst to join us. You will take responsibility for managing our master data set, developing reports, and assess potential risks. To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases.Required skills and competencies:Bachelor’s degree from an accredited university in FMIPA/ Statistics/ Actuarial.Proven work experience as a data analyst or business analystAbility to work with stakeholders to assess potential risks.Experience in methodologies and processes for managing large-scale databases.High-level written and verbal communication skills.Fluent in english verbal and written.","Jakarta Barat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80799720?type=standard&ref=search-standalone
Data Analyst,Dynapack Asia,"Responsibilities:Create and deliver reports on spending and key performance indicators (KPIs).Collect and organize documents from suppliers.Collaborate with the SAP/IT team to drive process improvement projects.Assist in data analysis for ongoing projects.Requirements:Minimum of 1 years of relevant experience, fresh graduate are welcome to applyProficient in advanced Excel and PowerPoint.Fluent in both written and spoken English.Strong analytical and critical thinking skills.Tech-savvy, capable of monitoring and enhancing systems.Strong administrative abilities, including archiving, documenting, and compiling information.Excellent discipline and time management skills.Experience with SAP is highly advantageous.Willing to be placed at Lippo Karawaci, Tangerang","Tangerang, Banten",https://www.jobstreet.co.id/id/job/80624353?type=standout&ref=search-standalone
Data Scientist,TurnkeyID,"Job Requirement:Minimum 3-5 years of work experience as a Data Scientist or in a related analytical role.Strong analytical skills, with a good understanding of data structures.Strong communication skills.Proficiency in Python, with hands-on experience in data analysis.Knowledge of investment or forex markets is preferred.Ability to work effectively under pressure and multitask to manage multiple projects.Willing to beonsiteinYogyakarta.Job Description:Analyze complex datasets to identify trends, patterns, and insights that drive business decisions.Perform data cleaning, preprocessing, and transformation to ensure data accuracy and usability.Create visualizations and reports to effectively communicate findings and recommendations.Monitor model performance and make adjustments to improve accuracy and efficiency.Collaborate with cross-functional teams to understand data needs and develop solutions.Stay updated on industry trends, best practices, and emerging technologies in data science and investment fields.","Yogyakarta, DI Yogyakarta",https://www.jobstreet.co.id/id/job/80662869?type=standard&ref=search-standalone
Data Analyst Staff,PT PROSPECT MOTOR,"Company DescriptionPT Prospect Motor is a leading Main Dealer of Honda vehicles, overseeing more than 50 Dealers in areas outside of Java in Indonesia. Located in Lippo Cikarang, a highly prospective place for businesses, we play a central role as the Principals of Sales, Service, Strategy, and Dealer Development for Honda Network in the outside Java region. We also own a local dealer as our site project. Join our dynamic and innovative team and build a rewarding career with us.Role DescriptionSummarize sales marketing and after sales data from dealersSummarize Marketing Activity Plan, Competitor Movement, and Price List DataCreate Project Data DashboardUpdate weekly & monthly reportQualificationsCandidate must possess at least a Bachelor's Degree in Engineering (Industrial), Computer Science/Information Technology, Mathematics, Economics, Statistics or equivalent.At least 1 year of working experience in the related field is required for this position, Fresh Graduates are welcomeRequired Skill(s): MySQL, Microsoft Excel, Microsoft Power Point, Power BI, DatabaseAble to speak English both spoken and writtenEnjoy analyzing and have high analytical skills","Cikarang Selatan, Jawa Barat",https://www.jobstreet.co.id/id/job/80605487?type=standout&ref=search-standalone
Data Analyst,PT Bevananda Mustika,"Informasi Utama:Posisi untuk Data Analyst Penempatan Sunter, Jakarta UtaraKualifikasiPendidikan: Minimal  S1 (bidang Statistika, Matematika, Teknik Informatika, atau jurusan terkait yang relevan dengan analisis data.).Pengalaman: 1-2 tahun sebagai Data Analyst, Lulusan baru dengan pengetahuan dan kemampuan yang relevan dipersilakan untuk melamar.Kemampuan Teknis: Pemahaman yang kuat terhadap Data Analitik dan interpretasi dataKemampuan Non – Teknis: Analisis Data, Pemecahan Masalah, Komunikasi, Teliti, Disiplin, Bertanggung jawab, dan Mampu bekerja dalam tim.Pengetahuan Lainnya: Pengetahuan Tentang ERP, SQL, dan alat Business Intelligence (Power BI, Metabase, Google Analytics) untuk analisis dan visualisasi data.Tugas dan Tanggung JawabPerencanaan: Membuat laporan dengan visualisasi yang jelas dan informatif guna memenuhi kebutuhan informasi pengguna internal, seperti ManajemenPelaksanaan: Mengumpulkan, mengekstrak, dan mengelola data dari berbagai sumber (ERP, Database, BI Tools, Excel, dll.) untuk Merancang dan mengimplementasikan database serta sistem data untuk pengolahan yang akuratPengendalian: Mengidentifikasi, menganalisis, dan menginterpretasikan tren atau pola dalam data yang relevan, termasuk data produktivitas, retensi karyawan, dan data kepuasan kerja.Dokumentasi: Menyajikan hasil analisis dan temuan kepada Manajemen untuk mendukung pengambilan keputusan yang berbasis data.","Jakarta Utara, Jakarta Raya",https://www.jobstreet.co.id/id/job/80777333?type=standout&ref=search-standalone
